id,customer_age_sales_interaction,utilization_ratio,combined_plus,discount_category,seat_utilisation_result,target,category_sale_Negative,category_sale_Neutral,category_sale_Positive,day,month,year
JMAN_9033523,13,1.0,3.0,1,0,1,0,0,1,17,3,2023
JMAN_9028182,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_16090733,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_2451330,16,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_2451905,16,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_2453288,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_2457086,17,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_2467540,0,1.0,1.0,1,0,0,0,1,0,27,1,2023
JMAN_9014349,15,1.0,3.0,1,0,1,0,0,1,17,3,2023
JMAN_10281567,9,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_2474309,0,1.0,0.0,1,0,0,1,0,0,20,1,2023
JMAN_9028556,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_10489734,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_18411228,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_15702888,0,1.0,1.0,1,0,0,0,1,0,27,1,2023
JMAN_16079210,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_9007298,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_18409944,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_9034141,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_2478316,17,1.0588235294117647,3.0,0,0,1,0,0,1,20,1,2023
JMAN_18409542,17,1.0,3.0,1,0,1,0,0,1,17,3,2023
JMAN_2456801,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_9026942,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2393214,0,1.0,0.0,1,0,1,1,0,0,24,2,2023
JMAN_9019962,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_9164427,16,1.0,3.0,1,0,1,0,0,1,3,3,2023
JMAN_12537206,4,1.0,2.0,1,0,1,0,0,1,17,2,2023
JMAN_9003564,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_12472512,3,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_2472417,17,1.0,2.0,1,0,1,0,0,1,3,3,2023
JMAN_11604060,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_14459683,2,1.0,2.0,1,0,1,0,0,1,3,3,2023
JMAN_2481325,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_9071046,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_2468132,0,0.6,,1,1,1,1,0,0,3,2,2023
JMAN_2471256,17,1.0,2.0,1,0,1,0,0,1,31,3,2023
JMAN_9034076,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_9000101,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_9603377,0,1.0,1.0,1,0,1,0,1,0,20,1,2023
JMAN_9036409,14,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_11201598,5,1.0,2.0,1,0,1,0,0,1,3,3,2023
JMAN_9035932,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_10355825,0,1.0,0.0,1,0,1,1,0,0,24,2,2023
JMAN_18410392,0,1.0,1.0,1,0,1,0,1,0,13,1,2023
JMAN_2464269,0,0.3333333333333333,,1,1,1,1,0,0,10,3,2023
JMAN_9056802,0,1.0,0.0,1,0,1,1,0,0,27,1,2023
JMAN_9384676,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_2480393,17,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_9014565,0,1.0,1.0,1,0,1,0,1,0,3,3,2023
JMAN_9311958,14,1.0,2.0,1,1,1,0,0,1,24,3,2023
JMAN_2450544,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9031987,14,1.0,3.0,1,0,1,0,0,1,13,1,2023
JMAN_9036591,17,1.0,3.0,1,0,1,0,0,1,3,3,2023
JMAN_2473315,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_10575478,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_9021088,17,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_9332838,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_2457657,0,1.0,0.0,1,0,1,1,0,0,27,1,2023
JMAN_2476200,17,1.0,2.0,1,0,1,0,0,1,27,1,2023
JMAN_2461723,0,1.0,,1,0,1,1,0,0,10,3,2023
JMAN_9754365,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_9004478,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_9028996,17,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_11096413,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2448185,17,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_11633303,0,1.0,,1,1,1,1,0,0,6,1,2023
JMAN_18411233,0,1.0,1.0,1,0,1,0,1,0,24,2,2023
JMAN_2452473,17,1.0,2.0,1,0,1,0,0,1,17,2,2023
JMAN_9027650,0,1.0,1.0,1,0,1,0,1,0,17,2,2023
JMAN_18410830,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_10159761,0,1.0,1.0,1,0,1,0,1,0,17,3,2023
JMAN_9071046,0,1.0,1.0,1,0,1,0,1,0,24,3,2023
JMAN_2450463,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_14142262,2,1.0,2.0,1,0,1,0,0,1,27,1,2023
JMAN_2448716,16,1.0,2.0,1,0,1,0,0,1,20,1,2023
JMAN_9021422,0,1.0,1.0,1,0,1,0,1,0,17,2,2023
JMAN_9029087,17,1.0,3.0,1,0,1,0,0,1,31,3,2023
JMAN_9021732,0,1.0,0.0,1,0,1,1,0,0,24,2,2023
JMAN_9037279,17,1.0,2.0,1,0,1,0,0,1,27,1,2023
JMAN_9021157,0,1.0,,1,0,1,1,0,0,6,1,2023
JMAN_18410409,0,1.0,1.0,1,0,1,0,1,0,20,1,2023
JMAN_2436197,0,1.0,,1,0,1,1,0,0,10,2,2023
JMAN_11710046,5,1.0,2.0,1,0,1,0,0,1,24,3,2023
JMAN_9000101,17,1.0,2.0,1,0,1,0,0,1,17,3,2023
JMAN_12382809,0,1.0,,1,0,1,1,0,0,3,2,2023
JMAN_2464445,17,1.0,2.0,1,0,1,0,0,1,13,1,2023
